gene.name,LAS1L Up,TEX10 Up,PELP1 Up,SENP3 Up,WDR18 Up,LAS1L Down,TEX10 Down,PELP1 Down,SENP3 Down,WDR18 Down,ChIP,,,,
SMG9,0,0,0,0,0,0,0,0,1,1,1,,,,
MFSD2A,0,0,0,0,0,0,0,0,1,1,1,,,,
TSPAN8,0,0,0,1,1,0,0,0,0,0,1,,,,
GLCE,0,0,0,1,1,0,0,0,0,0,1,,,,
ZNF473,0,0,0,0,0,0,0,0,1,1,1,,,,
HEXB,0,0,1,1,1,0,0,0,0,0,1,,,,
JPH3,0,0,0,0,0,1,0,0,0,1,1,,,,
PSCA,0,0,0,1,1,0,0,1,0,0,1,,,,
NEK6,0,0,0,0,0,0,0,0,1,1,1,,,,
ADCY1,0,0,0,0,0,0,0,1,1,1,1,,,,
A1CF,0,0,0,0,0,0,0,0,1,1,1,,,,
RHOBTB3,0,0,0,1,1,0,0,0,0,0,1,,,,
CD44,0,0,0,0,0,0,1,0,1,1,1,,,,
EEF1E1,0,0,1,1,1,0,0,0,0,0,1,,,,
EML1,0,0,0,1,1,0,0,0,0,0,1,,,,
RAB11A,0,0,0,1,1,0,0,0,0,0,1,,,,
ANKRD46,0,0,0,1,1,0,0,0,0,0,1,,,,
PPP1R15A,0,0,0,0,0,1,0,1,1,1,1,,,,
REEP5,0,0,0,1,1,0,0,0,0,0,1,,,,
GRWD1,0,0,0,0,0,1,0,0,1,1,1,,,,
ITGB8,0,0,1,1,1,0,0,0,0,0,1,,,,
DPYSL3,0,0,0,1,1,0,0,0,0,0,1,,,,
ZNF584,0,0,0,0,0,0,0,0,1,1,1,,,,
DRAM1,0,0,0,1,1,0,0,0,0,0,1,,,,
TFPT,0,0,0,0,0,0,0,1,1,1,1,,,,
GAB2,0,0,0,0,0,0,0,0,1,1,1,,,,
PSMA1,0,0,1,1,1,0,0,0,0,0,1,,,,
PRKD3,0,0,1,1,1,0,0,0,0,0,1,,,,
FOXA3,0,0,0,0,0,0,0,1,1,1,1,,,,
CGREF1,0,0,0,0,0,0,0,0,1,1,1,,,,
ATP8A1,0,0,1,1,1,0,0,0,0,0,1,,,,
NRARP,0,0,0,0,0,0,0,0,0,1,1,,,,
SHISA6,0,0,0,0,0,0,0,0,1,1,1,,,,
BNIP2,0,0,0,1,1,0,0,0,0,0,1,,,,
FOSB,0,0,0,0,0,0,0,1,1,1,1,,,,
CNTNAP2,0,0,1,0,0,0,0,0,1,1,1,,,,
CCAT1,0,0,0,0,0,1,0,1,1,1,1,,,,
ITGB7,0,0,0,0,0,0,0,1,1,1,1,,,,
CASD1,0,0,1,1,1,0,0,0,0,0,1,,,,
TSPAN6,0,0,1,1,1,0,0,0,0,0,1,,,,
ADAMTS17,0,0,0,0,0,0,0,0,1,1,1,,,,
SIPA1L2,0,0,0,0,0,0,0,1,1,1,1,,,,
BAX,0,0,0,0,0,0,0,0,1,1,1,,,,
CCNG1,0,0,1,1,1,0,0,0,0,0,1,,,,
TOMM40,0,0,0,0,0,0,0,0,1,1,1,,,,
IKZF2,0,0,0,1,1,0,0,0,0,0,1,,,,
IRF3,0,0,0,0,0,0,0,0,1,1,1,,,,
RPL28,0,0,0,0,0,0,0,1,1,1,1,,,,
OAF,0,0,0,0,0,0,0,0,1,1,1,,,,
MCMDC2,0,0,1,1,1,0,0,0,0,0,1,,,,
MILR1,0,0,0,1,1,0,0,1,0,0,1,,,,
FAM219B,0,0,0,1,1,0,0,0,0,0,1,,,,
ZNF787,0,0,0,0,0,0,0,0,1,1,1,,,,
SEC11A,0,0,0,1,1,0,0,0,0,0,1,,,,
PGD,0,0,0,0,0,0,0,0,1,1,1,,,,
PRRG4,0,0,0,1,1,0,0,0,0,0,1,,,,
CLDN12,0,0,0,1,1,0,0,0,0,0,1,,,,
SRP9,0,0,1,1,1,0,0,0,0,0,1,,,,
CAPN13,0,0,0,1,1,0,0,0,0,0,1,,,,
NOP56,0,0,0,0,0,0,0,0,0,1,1,,,,
LAMTOR1,0,0,0,0,0,0,0,0,0,1,1,,,,
CHMP2A,0,0,0,0,0,0,0,0,1,1,1,,,,
CEACAM6,0,0,0,0,0,1,0,1,1,1,1,,,,
CCPG1,0,0,1,1,1,0,0,0,0,0,1,,,,
YPEL2,0,0,0,0,1,0,0,0,0,0,1,,,,
WWTR1,0,0,0,1,1,0,0,0,0,0,1,,,,
SLCO3A1,0,0,0,0,0,0,0,0,1,1,1,,,,
HEPH,0,0,0,0,0,0,0,0,1,1,1,,,,
CIDEB,0,0,0,0,0,0,0,0,1,1,1,,,,
PPFIA3,0,0,0,0,0,0,0,0,1,1,1,,,,
IGFBP4,0,0,0,0,0,0,0,1,1,1,1,,,,
ERF,0,0,0,0,0,0,0,0,1,1,1,,,,
DHX34,0,0,0,0,0,0,0,0,1,1,1,,,,
CNEP1R1,0,0,1,1,1,0,0,0,0,0,1,,,,
TXK,0,0,0,1,1,0,0,1,0,0,1,,,,
TCN2,1,0,0,1,1,0,0,1,0,0,1,,,,
SLC25A40,0,0,1,1,1,0,0,0,0,0,1,,,,
PROM2,1,0,0,0,1,0,0,1,0,0,1,,,,
CCNG2,0,0,1,1,1,1,0,0,0,0,1,,,,
VSNL1,0,0,0,0,0,0,0,0,1,1,1,,,,
MPZL2,0,0,0,0,1,0,0,0,0,0,1,,,,
SLC39A11,0,0,0,1,1,0,0,0,0,0,1,,,,
MORF4L1,0,0,0,1,1,0,0,0,0,0,1,,,,
ZFAND6,0,0,0,1,1,0,0,0,0,0,1,,,,
CENPBD1P1,0,0,0,0,0,0,0,0,1,1,1,,,,
APOBEC3C,0,0,0,1,1,0,0,1,0,0,1,,,,
SLC25A36,0,0,1,1,1,0,0,0,0,0,1,,,,
SFN,0,0,0,0,0,0,0,1,1,1,1,,,,
CLIP4,0,0,0,1,1,0,1,0,0,0,1,,,,
ADAM28,0,0,0,1,1,0,0,1,0,0,1,,,,
MMP1,0,0,0,0,0,0,0,1,1,1,1,,,,
ITGAV,0,0,0,1,1,0,0,0,0,0,1,,,,
APH1B,0,0,0,1,1,1,0,0,0,0,1,,,,
STEAP4,0,0,0,1,1,0,0,1,0,0,1,,,,
CTBP1,0,0,0,0,0,0,0,0,0,1,1,,,,
THEM4,0,0,0,1,1,0,0,0,0,0,1,,,,
REEP3,0,0,0,1,1,0,0,0,0,0,1,,,,
ZBTB45,0,0,0,0,0,0,0,1,1,1,1,,,,
ITLN1,0,0,0,1,1,0,0,0,0,0,1,,,,
ASAH1,0,0,0,1,1,0,0,0,0,0,1,,,,
CKAP4,0,0,0,0,1,0,0,0,0,0,1,,,,
GSTA4,0,0,1,1,1,0,0,0,0,0,1,,,,
GSK3A,0,0,0,0,0,0,0,0,1,1,1,,,,
KIF26B,0,0,0,0,0,0,0,1,1,1,1,,,,
TSC22D3,0,0,0,1,1,0,0,0,0,0,1,,,,
HMGA2,0,0,1,1,1,0,0,0,0,0,1,,,,
CDH3,0,0,0,1,1,0,0,1,0,0,1,,,,
BAZ2B,0,0,1,1,1,0,0,0,0,0,1,,,,
DMWD,0,0,0,0,0,0,0,0,1,1,1,,,,
IKZF3,0,0,0,0,0,0,0,1,1,1,1,,,,
FOLR1,0,0,0,1,1,0,0,1,0,0,1,,,,
CLDN1,0,0,0,0,0,1,0,1,1,1,1,,,,
FAM171A1,0,0,0,0,0,0,0,1,1,1,1,,,,
ST3GAL5,0,0,0,0,1,0,0,0,0,0,1,,,,
DLX3,0,0,0,1,1,0,0,1,0,0,1,,,,
CHRNB1,0,0,0,1,1,0,0,0,0,0,1,,,,
ENPP5,0,0,0,1,1,0,0,0,0,0,1,,,,
RPS6KA4,0,0,0,0,0,0,0,0,1,1,1,,,,
ARL8B,0,0,1,1,1,0,0,0,0,0,1,,,,
C3orf52,0,0,0,1,1,0,0,0,0,0,1,,,,
LEMD1,0,0,1,1,1,0,0,0,0,0,1,,,,
POMK,0,0,0,0,0,0,0,1,1,1,1,,,,
ZNF618,0,0,0,0,0,0,0,0,1,1,1,,,,
ABHD3,0,0,0,1,1,0,0,0,0,0,1,,,,
IER3IP1,0,0,1,1,1,0,0,0,0,0,1,,,,
PHLDB1,0,0,0,1,1,0,0,1,0,0,1,,,,
SPHK2,0,0,0,0,0,0,0,0,1,1,1,,,,
PIWIL1,0,0,1,0,0,0,0,0,1,1,1,,,,
ABHD13,0,0,0,1,1,0,0,0,0,0,1,,,,
SKIL,0,0,0,1,1,0,0,0,0,0,1,,,,
PBDC1,0,0,0,0,0,0,0,0,0,1,1,,,,
GAS7,0,0,0,0,0,0,0,1,1,1,1,,,,
KRT17,0,0,0,0,0,0,0,1,1,1,1,,,,
MOK,0,0,0,0,0,0,0,0,1,1,1,,,,
BTBD1,0,0,0,1,1,0,0,0,0,0,1,,,,
OSTM1,0,0,0,1,1,0,0,0,0,0,1,,,,
LENG1,0,0,0,0,0,0,0,0,1,1,1,,,,
KHK,0,0,0,0,0,0,0,0,1,1,1,,,,
CLINT1,0,0,0,0,0,0,0,0,0,1,1,,,,
PHLDB2,0,0,0,1,1,0,0,0,0,0,1,,,,
P2RX6,0,0,0,1,1,0,0,0,0,0,1,,,,
ENPP4,0,0,0,1,1,0,0,0,0,0,1,,,,
HBP1,0,0,0,1,1,0,0,0,0,0,1,,,,
UBE2W,0,0,1,1,1,0,0,0,0,0,1,,,,
SCAMP1,0,0,0,1,1,0,0,0,0,0,1,,,,
SLC38A6,0,0,1,1,1,0,0,0,0,0,1,,,,
BCAT2,0,0,0,0,0,0,0,0,1,1,1,,,,
TAF4B,0,0,0,0,0,0,0,0,1,1,1,,,,
KLHDC7A,0,0,0,1,1,0,0,1,0,0,1,,,,
MYH4,1,0,1,0,0,0,1,0,1,1,1,,,,
CLPTM1,0,0,0,0,0,0,0,0,1,1,1,,,,
ZNF444,0,0,0,0,0,0,0,0,1,1,1,,,,
SYT5,0,0,0,0,0,0,0,1,1,1,1,,,,
ITM2B,0,0,0,1,1,0,0,0,0,0,1,,,,
OIP5-AS1,0,0,1,1,1,0,0,0,0,0,1,,,,
DBR1,0,0,0,0,0,0,0,0,0,1,1,,,,
PI4K2B,0,0,1,1,1,0,0,0,0,0,1,,,,
TWSG1,0,0,0,1,1,0,0,0,0,0,1,,,,
EIF1,0,0,0,0,0,0,0,0,1,1,1,,,,
IQGAP3,0,0,0,0,0,0,0,0,0,1,1,,,,
FGGY,0,0,0,1,1,0,0,0,0,0,1,,,,
BMI1,0,0,1,1,1,0,0,0,0,0,1,,,,
KLHL23,0,0,0,1,1,0,0,0,0,0,1,,,,
INSIG2,0,0,1,1,1,0,0,0,0,0,1,,,,
CEACAM18,0,0,0,0,0,0,0,1,1,1,1,,,,
KDELR1,0,0,0,0,0,0,0,0,1,1,1,,,,
RNF11,0,0,0,1,1,0,0,0,0,0,1,,,,
RAP2C,0,0,0,1,1,0,0,0,0,0,1,,,,
GPNMB,0,0,0,0,0,0,0,0,0,1,1,,,,
LIPE,0,0,0,0,0,0,0,0,1,1,1,,,,
PTDSS1,0,0,0,0,0,0,0,0,0,1,1,,,,
SPRR3,0,0,0,0,0,1,0,1,1,1,1,,,,
HS2ST1,0,0,1,1,1,0,0,0,0,0,1,,,,
ID3,0,0,1,1,1,0,0,0,0,0,1,,,,
WSCD1,0,0,0,0,0,0,0,1,1,1,1,,,,
GMDS,0,0,0,0,0,0,0,0,1,1,1,,,,
VRK3,0,0,0,0,0,0,0,0,1,1,1,,,,
AGMAT,0,0,0,0,0,0,0,0,1,1,1,,,,
POLD1,0,0,0,0,0,0,0,0,1,1,1,,,,
GMFB,0,0,1,1,1,0,0,0,0,0,1,,,,
ATF7IP2,0,0,1,1,1,0,0,0,0,0,1,,,,
BCL3,0,0,0,0,0,0,0,1,1,1,1,,,,
CTU1,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC4A3,0,0,0,1,1,0,0,0,0,0,1,,,,
SLC1A1,0,0,0,1,1,0,0,0,0,0,1,,,,
KLK1,0,0,0,0,0,0,0,0,1,1,1,,,,
C19orf48,0,0,0,0,0,0,0,0,1,1,1,,,,
XRCC3,0,0,0,0,0,0,0,0,0,1,1,,,,
FAM155B,0,0,0,0,0,0,0,0,1,1,1,,,,
PRCP,0,0,0,1,1,0,0,0,0,0,1,,,,
BLOC1S5,0,0,1,1,1,0,0,0,0,0,1,,,,
CYP2R1,0,0,1,1,1,0,0,0,0,0,1,,,,
YOD1,0,0,0,0,1,0,1,0,0,0,1,,,,
SIRPA,0,0,0,0,0,0,0,0,1,1,1,,,,
ZNF296,0,0,0,0,0,0,0,0,1,1,1,,,,
JAZF1,0,0,1,1,1,0,0,0,0,0,1,,,,
ALPK3,0,0,0,1,1,0,0,1,0,0,1,,,,
NLRP2,0,0,0,0,0,0,0,0,1,1,1,,,,
MYC,0,0,0,0,0,0,0,0,1,1,1,,,,
GTF3C6,0,0,0,0,0,0,0,0,1,1,1,,,,
FAM19A5,0,0,0,0,0,0,0,1,1,1,1,,,,
CERCAM,1,0,0,1,1,0,0,0,0,0,1,,,,
UST,0,0,0,0,0,0,0,0,1,1,1,,,,
TSPYL5,0,0,0,0,0,0,0,0,1,1,1,,,,
PSMC3,0,0,0,0,0,0,0,0,0,1,1,,,,
LXN,0,0,0,1,1,0,0,0,0,0,1,,,,
WNT5A,0,0,0,0,0,0,0,1,1,1,1,,,,
DNAJB14,0,0,0,1,1,0,0,0,0,0,1,,,,
DENND1B,0,0,0,1,1,0,0,0,0,0,1,,,,
TMEM19,0,0,0,1,1,0,0,0,0,0,1,,,,
KLHL5,0,0,0,1,1,0,0,0,0,0,1,,,,
MOB1A,0,0,0,1,1,0,0,0,0,0,1,,,,
PNKP,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC44A3,0,0,0,1,1,0,0,0,0,0,1,,,,
C2CD4A,0,0,1,0,0,0,0,0,1,1,1,,,,
KPNA5,0,0,1,1,1,0,0,0,0,0,1,,,,
SLC30A1,0,0,0,1,1,0,0,0,0,0,1,,,,
SDHD,0,0,1,1,1,0,0,0,0,0,1,,,,
CD46,0,0,0,1,1,0,0,0,0,0,1,,,,
DDC,0,0,1,0,0,0,0,0,1,1,1,,,,
CERK,0,0,0,0,0,0,0,0,0,1,1,,,,
FBL,0,0,0,0,0,0,0,0,1,1,1,,,,
GLO1,0,0,1,1,1,0,0,0,0,0,1,,,,
ITGB6,0,0,0,1,1,0,0,0,0,0,1,,,,
CDC37,0,0,0,0,0,0,0,0,0,1,1,,,,
ZMYM1,0,0,1,1,1,0,0,0,0,0,1,,,,
XRCC1,0,0,0,0,0,0,0,0,1,1,1,,,,
PHTF2,0,0,1,1,1,0,1,0,0,0,1,,,,
IDH1,0,0,0,0,1,0,0,0,0,0,1,,,,
ALKBH5,0,0,0,0,0,0,0,0,1,1,1,,,,
TMEM106B,0,0,1,1,1,0,0,0,0,0,1,,,,
STRN4,0,0,0,0,0,0,0,0,1,1,1,,,,
IRGQ,0,0,0,0,0,0,0,0,1,1,1,,,,
CPT1C,0,0,0,0,0,0,0,1,1,1,1,,,,
MTURN,0,0,0,1,1,0,0,0,0,0,1,,,,
BOP1,0,0,0,0,0,0,0,0,1,1,1,,,,
DYNLT3,0,0,1,1,1,0,0,0,0,0,1,,,,
ANKRD13B,0,0,0,0,0,0,0,0,0,1,1,,,,
MTX2,0,0,0,1,1,0,0,0,0,0,1,,,,
ARL5B,0,0,1,1,1,0,0,0,0,0,1,,,,
CYP2C18,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC43A1,0,0,0,0,0,0,0,0,1,1,1,,,,
CECR5,0,0,0,0,0,0,0,0,0,1,1,,,,
CPA6,0,0,1,1,1,0,0,0,0,0,1,,,,
EIF2B2,0,0,0,0,0,0,0,0,1,1,1,,,,
SHANK1,0,0,0,0,0,0,0,1,1,1,1,,,,
FAM83A,0,0,0,0,1,1,0,1,0,0,1,,,,
C5orf24,0,0,0,1,1,1,0,0,0,0,1,,,,
KLHL24,0,0,0,0,1,0,0,0,0,0,1,,,,
OCEL1,0,0,0,1,1,0,0,0,0,0,1,,,,
POLD2,0,0,0,0,0,0,0,0,1,1,1,,,,
SLC1A5,0,0,0,0,0,0,0,0,1,1,1,,,,
SNX16,0,0,0,1,1,0,0,0,0,0,1,,,,
NDFIP2,0,0,0,1,1,0,0,0,0,0,1,,,,
CYB5D1,0,0,0,0,0,0,0,0,0,1,1,,,,
DPH2,0,0,0,0,0,0,0,0,1,1,1,,,,
PDCD4,0,0,0,1,1,0,0,0,0,0,1,,,,
GRAMD1C,0,0,0,1,1,0,0,0,0,0,1,,,,
TNFAIP2,0,0,0,1,1,0,0,1,0,0,1,,,,
STON2,0,0,0,0,0,0,0,1,1,1,1,,,,
NDUFC2,0,0,1,1,1,0,0,0,0,0,1,,,,
B2M,0,0,0,1,1,0,0,0,0,0,1,,,,
SMIM14,0,0,0,1,1,0,1,0,0,0,1,,,,
ATF5,0,0,0,0,0,0,0,1,1,1,1,,,,
CCDC149,0,0,0,0,0,0,0,0,1,1,1,,,,
DCTN6,0,0,0,1,1,0,0,0,0,0,1,,,,
PHLDB3,0,0,0,0,0,0,0,0,1,1,1,,,,
PAPSS2,0,0,1,1,1,0,0,0,0,0,1,,,,
GLI2,0,0,0,0,0,0,0,0,1,1,1,,,,
HPGD,0,0,0,1,1,0,0,0,0,0,1,,,,
UBE2B,0,0,0,1,1,0,0,0,0,0,1,,,,
TNRC6C-AS1,0,0,0,1,1,0,0,0,0,0,1,,,,
TMEM135,0,0,1,1,1,0,0,0,0,0,1,,,,
CCDC9,0,0,0,0,0,0,0,0,1,1,1,,,,
CMTM6,0,0,0,1,1,0,0,0,0,0,1,,,,
FAM3C,0,0,0,1,1,0,0,0,0,0,1,,,,
KLHL2,0,0,0,1,1,0,0,0,0,0,1,,,,
ZDHHC14,0,0,0,0,0,0,0,0,1,1,1,,,,
RGS16,0,0,0,0,0,0,0,0,1,1,1,,,,
RBM15,0,0,0,0,0,0,0,0,0,1,1,,,,
ST3GAL1,0,0,0,0,0,0,0,1,1,1,1,,,,
ZNF551,0,0,0,0,0,0,0,0,0,1,1,,,,
HINT3,0,0,1,1,1,0,0,0,0,0,1,,,,
EID1,0,0,1,1,1,0,0,0,0,0,1,,,,
HYAL1,0,0,0,1,1,0,0,0,0,0,1,,,,
GRIN2D,0,0,0,0,0,0,0,1,1,1,1,,,,
ANKS4B,0,0,0,0,0,0,0,0,1,1,1,,,,
PPP1R12C,0,0,0,0,0,0,0,0,1,1,1,,,,
VRTN,0,0,0,0,0,0,0,0,1,1,1,,,,
FFAR4,0,0,0,0,0,0,0,0,1,1,1,,,,
ZNF324,0,0,0,0,0,0,0,0,1,1,1,,,,
PLA2R1,0,0,0,1,1,0,0,1,0,0,1,,,,
PLA2G10,0,0,0,1,1,0,0,1,0,0,1,,,,
CREBRF,0,0,1,1,1,0,0,0,0,0,1,,,,
SOX21,0,0,0,0,0,0,0,1,1,1,1,,,,
SLC27A5,0,0,0,0,0,0,0,0,1,1,1,,,,
C11orf80,0,0,0,1,1,0,0,0,0,0,1,,,,
ACSM3,0,0,1,0,1,0,0,0,0,0,1,,,,
FEM1B,0,0,0,1,1,0,1,0,0,0,1,,,,
ID2,0,0,1,0,1,0,0,0,0,0,1,,,,
NFIX,0,0,0,0,0,0,0,0,1,1,1,,,,
DSTN,0,0,1,1,1,0,0,0,0,0,1,,,,
RNF19A,0,0,0,1,1,0,0,0,0,0,1,,,,
AK5,0,0,0,0,0,0,0,0,1,1,1,,,,
CNTD2,0,0,0,0,0,0,0,1,1,1,1,,,,
C7orf26,0,0,0,0,0,0,0,0,1,1,1,,,,
METTL10,0,0,1,1,1,0,0,0,0,0,1,,,,
TSPAN2,1,0,0,1,1,0,0,0,0,0,1,,,,
FAM214A,0,0,0,1,1,0,0,0,0,0,1,,,,
NUDCD3,0,0,0,0,0,0,0,0,0,1,1,,,,
CLDN18,0,1,0,0,1,0,0,1,0,0,1,,,,
MUC6,0,0,0,0,0,0,0,1,1,1,1,,,,
CLPB,0,0,0,0,0,0,0,0,1,1,1,,,,
MINPP1,0,0,0,1,1,0,0,0,0,0,1,,,,
BCAP29,0,0,0,1,1,0,0,0,0,0,1,,,,
MYH14,0,0,0,0,0,0,0,1,1,1,1,,,,
RFK,0,0,0,1,1,0,0,0,0,0,1,,,,
RNF139,0,0,1,1,1,0,0,0,0,0,1,,,,
PIEZO2,0,0,0,0,0,1,0,1,1,1,1,,,,
YIPF4,0,0,0,1,1,0,0,0,0,0,1,,,,
LIPA,0,0,0,1,1,0,0,0,0,0,1,,,,
EDA,0,0,0,0,0,0,0,0,1,1,1,,,,
TSTA3,0,0,0,0,0,0,0,0,1,1,1,,,,
SCNN1A,0,0,0,1,1,0,0,0,0,0,1,,,,
MFNG,0,1,0,1,1,0,0,0,0,0,1,,,,
CD164,0,0,0,1,1,0,0,0,0,0,1,,,,
MED1,0,0,0,0,0,0,0,0,1,1,1,,,,
DHODH,0,0,0,0,0,0,0,0,0,1,1,,,,
INSIG1,0,0,1,0,1,0,0,0,0,0,1,,,,
ZMYM6,0,0,1,1,1,0,0,0,0,0,1,,,,
IRF2BP1,0,0,0,0,0,0,0,0,1,1,1,,,,
SERPIND1,0,0,0,0,0,1,0,1,1,1,1,,,,
ITIH2,0,0,0,0,0,1,0,0,1,1,1,,,,
RELB,0,0,0,0,0,0,0,0,1,1,1,,,,
BCL2L12,0,0,0,0,0,0,0,0,1,1,1,,,,
SPIN4,0,0,0,1,1,0,0,0,0,0,1,,,,
DNAH12,0,0,0,0,1,0,0,1,0,0,1,,,,
GJB6,0,0,0,1,1,0,0,0,0,0,1,,,,
KLK10,0,0,0,0,0,0,0,1,1,1,1,,,,
ATPAF2,0,0,0,0,0,0,0,0,0,1,1,,,,
CASC19,0,0,0,0,0,0,0,0,1,1,1,,,,
FAM8A1,0,0,1,1,1,0,0,0,0,0,1,,,,
LACC1,0,0,0,1,1,0,0,0,0,0,1,,,,
ABHD17C,0,0,0,1,1,0,0,0,0,0,1,,,,
TRAM1,0,0,0,1,1,0,0,0,0,0,1,,,,
C5,0,0,1,1,1,0,0,0,0,0,1,,,,
MBOAT1,0,0,0,1,1,0,0,0,0,0,1,,,,
ZNF526,0,0,0,0,0,0,0,0,1,1,1,,,,
CAB39L,0,0,0,0,1,0,0,0,0,0,1,,,,
PES1,0,0,0,0,0,0,0,0,1,1,1,,,,
U2AF2,0,0,0,0,0,0,0,0,1,1,1,,,,
LMCD1,0,0,0,1,1,0,0,1,0,0,1,,,,
SAE1,0,0,0,0,0,0,0,0,1,1,1,,,,
OLFML2A,0,0,0,1,1,0,0,1,0,0,1,,,,
NCR3LG1,0,0,0,0,0,0,0,0,0,1,1,,,,
PGAM5,0,0,0,0,0,0,0,0,0,1,1,,,,
FBXO46,0,0,0,0,0,0,0,0,1,1,1,,,,
DLX4,0,0,0,1,1,0,0,0,0,0,1,,,,
NOP16,0,0,0,0,0,0,0,0,0,1,1,,,,
FZD6,0,0,1,1,1,0,0,0,0,0,1,,,,
JAK3,0,0,0,1,1,0,0,0,0,0,1,,,,
SBSPON,0,0,0,1,1,0,0,0,0,0,1,,,,
CLN5,0,0,0,1,1,0,0,0,0,0,1,,,,
PIGB,0,0,0,1,1,0,0,0,0,0,1,,,,
C19orf68,0,0,0,0,0,0,0,0,1,1,1,,,,
FAM83F,0,0,0,0,0,0,0,1,1,1,1,,,,
POLR2M,0,0,0,1,1,0,0,0,0,0,1,,,,
TIMM50,0,0,0,0,0,0,0,0,0,1,1,,,,
NOD2,0,0,0,1,1,0,0,0,0,0,1,,,,
CYTH2,0,0,0,0,0,0,0,0,1,1,1,,,,
